Year,Region/City,Number of Bedrooms,Number of Bathrooms,Square Footage,Listing Price,Sale Price,Days on Market,Property Age (Years),Property Type,Number of Garages
2016,Hamilton,4,4,1683,771648,727363,15,16,Detached,3
2013,Guelph,3,3,1995,874505,817919,51,1,Detached,2
2022,London,1,3,813,957963,895058,27,50,Condo,3
2020,Toronto,3,1,1335,885112,891581,85,14,Townhouse,0
2017,Kitchener,1,4,1972,878305,792456,47,62,Condo,0
2022,Windsor,2,2,872,779864,715778,81,7,Detached,3
2014,Ottawa,3,1,1347,622783,546302,85,23,Detached,1
2016,Guelph,1,2,1662,574131,595797,43,99,Condo,1
2019,Ottawa,2,2,742,658484,583528,77,63,Detached,0
2012,Toronto,3,1,971,716399,696251,86,29,Detached,1
2016,Toronto,4,4,2052,1134358,1097880,59,22,Townhouse,1
2020,Hamilton,3,3,1523,1050332,957312,22,80,Detached,0
2020,Windsor,5,1,1970,681336,611609,46,93,Townhouse,2
2017,Toronto,3,4,1572,889940,860241,30,6,Townhouse,2
2014,Ottawa,5,2,2482,786475,712590,22,82,Condo,2
2013,London,2,1,1675,847198,786374,89,29,Condo,1
2017,London,3,3,2007,690275,652496,45,89,Detached,3
2017,Hamilton,2,3,1401,1248351,1184078,46,2,Condo,1
2012,Kitchener,2,2,1584,1172899,1134245,37,64,Townhouse,2
2015,Ottawa,1,1,1756,741476,679869,47,96,Condo,0
2014,Ottawa,2,3,1823,680734,619509,18,36,Townhouse,0
2011,Toronto,2,1,1484,985094,919991,59,96,Condo,0
2017,Windsor,3,3,1501,558066,450336,62,20,Detached,1
2021,Ottawa,3,2,1700,969189,890832,14,55,Condo,3
2023,Guelph,4,2,1700,825093,745094,32,37,Detached,2
2015,Kitchener,1,1,1089,513180,478988,18,97,Condo,0
2011,Toronto,2,4,1589,769645,765167,87,52,Townhouse,2
2021,Guelph,1,4,1628,668849,624480,30,69,Condo,2
2014,Hamilton,5,2,1109,832356,796948,78,70,Condo,1
2010,London,2,3,1862,811501,743513,21,22,Townhouse,0
2021,Hamilton,1,4,1665,530537,486467,38,85,Townhouse,1
2019,London,4,2,2432,733171,643385,18,83,Condo,2
2015,Hamilton,4,3,1489,914944,917119,30,15,Townhouse,2
2022,Ottawa,2,3,1954,949381,907762,38,98,Townhouse,2
2021,Guelph,5,4,1715,727388,666205,87,47,Condo,0
2018,London,4,2,2268,891554,870821,28,71,Detached,0
2010,Toronto,4,3,1112,853276,776125,74,81,Condo,0
2020,Guelph,5,3,1301,789471,713300,24,69,Condo,2
2020,Toronto,1,1,1125,892775,855713,43,52,Detached,2
2019,Guelph,4,1,1468,614959,485493,49,39,Condo,3
2021,Guelph,3,4,1050,800194,783729,38,2,Condo,0
2021,Hamilton,4,1,889,479212,469604,26,91,Townhouse,2
2023,London,1,2,646,789174,753402,75,45,Condo,2
2023,London,1,4,621,1085005,1029297,37,24,Detached,3
2023,Windsor,2,4,1762,736094,734492,10,61,Detached,3
2012,Guelph,3,1,1317,1065008,996431,20,92,Townhouse,2
2021,Ottawa,1,3,1006,739282,615474,76,65,Condo,0
2016,Ottawa,5,2,1236,583055,574846,27,53,Condo,1
2013,Toronto,3,2,1288,933078,877186,22,21,Condo,1
2018,Toronto,3,2,1114,892786,814048,18,92,Condo,1
2012,Hamilton,5,4,2142,1263801,1190831,54,67,Detached,0
2014,Guelph,4,2,2066,604140,489388,65,94,Detached,2
2012,Toronto,5,3,2135,871282,835364,40,1,Townhouse,1
2016,Toronto,5,3,1571,878408,768829,19,59,Condo,1
2014,Kitchener,4,1,1612,1011636,963444,9,47,Detached,0
2018,Guelph,4,2,1238,905959,871266,57,18,Condo,2
2016,Hamilton,4,4,1161,742384,636010,52,33,Detached,2
2011,Toronto,4,1,1508,585785,546817,83,15,Detached,0
2013,Hamilton,4,3,1760,869324,787190,15,24,Townhouse,1
2018,London,5,2,1978,874884,839665,6,36,Condo,2
2021,Hamilton,2,3,1281,926283,914505,28,60,Townhouse,2
2023,Ottawa,2,1,998,742113,730251,86,34,Townhouse,1
2011,Ottawa,1,3,1793,855630,784462,72,90,Townhouse,0
2019,Hamilton,2,2,772,491169,473087,83,51,Townhouse,1
2018,Ottawa,2,2,1484,594150,550453,16,40,Townhouse,3
2019,London,5,1,1535,987105,956592,63,22,Townhouse,2
2014,Guelph,4,2,1348,835967,812332,71,16,Townhouse,0
2011,Ottawa,4,3,881,895164,867870,36,42,Condo,1
2013,Ottawa,5,3,1353,680329,624111,40,16,Townhouse,1
2021,Hamilton,2,4,2157,654909,694246,25,5,Condo,0
2021,London,5,4,1736,715289,639967,74,6,Condo,2
2016,Windsor,1,4,1964,847536,836385,70,42,Detached,0
2021,Windsor,4,3,1013,937183,922206,13,88,Townhouse,3
2022,Windsor,3,3,1602,750177,743498,80,30,Condo,0
2017,Windsor,1,1,1535,468083,410008,48,32,Detached,3
2012,Guelph,1,4,1543,880207,786290,63,53,Detached,2
2023,Hamilton,5,3,1722,853410,807480,28,19,Townhouse,1
2010,Hamilton,2,1,1558,895834,832728,67,51,Townhouse,3
2013,Kitchener,4,3,1024,971299,905134,82,28,Townhouse,3
2011,London,3,1,1745,955511,883276,45,47,Townhouse,0
2017,Windsor,1,4,1836,1072162,1052270,80,72,Condo,0
2013,Guelph,3,4,2027,805683,707880,78,1,Condo,1
2011,London,2,4,2045,713614,673633,6,68,Townhouse,2
2023,Windsor,2,3,1690,1008168,949737,32,57,Townhouse,3
2015,Guelph,3,3,1042,981671,936171,20,22,Condo,1
2015,London,4,1,888,753429,716794,63,86,Townhouse,3
2019,Hamilton,2,2,1409,1021177,942990,5,94,Detached,1
2013,Hamilton,3,2,1867,814905,745852,5,58,Condo,0
2015,Toronto,1,4,1842,1055264,1070849,35,91,Detached,0
2022,Ottawa,3,2,1609,1145843,1083269,26,91,Detached,2
2011,Windsor,3,4,1485,1328214,1215286,80,13,Detached,0
2019,Kitchener,5,1,2261,812447,756875,63,39,Detached,1
2021,London,2,2,1729,1083086,1048411,32,27,Townhouse,3
2011,Kitchener,4,2,1465,970769,932273,80,39,Townhouse,1
2019,Toronto,4,4,1241,989392,956250,31,72,Townhouse,2
2023,Ottawa,5,1,1096,884886,869357,5,12,Townhouse,0
2013,London,4,2,1057,990220,945761,6,24,Condo,0
2023,Guelph,3,2,1096,525183,480860,70,18,Townhouse,3
2017,Windsor,5,2,1612,794231,726227,53,15,Condo,2
2023,Ottawa,1,1,1492,669303,634978,23,60,Detached,2
2016,Hamilton,2,1,1369,652576,542249,32,16,Condo,0
2021,Toronto,2,2,1794,512899,491001,74,97,Townhouse,2
2018,Ottawa,2,4,2223,694657,640240,43,74,Detached,1
2023,Windsor,3,4,1170,765169,737597,23,47,Detached,2
2017,Ottawa,1,2,1230,836861,803022,68,24,Townhouse,1
2014,Windsor,5,1,613,797514,755898,62,45,Detached,1
2022,Hamilton,5,2,1489,1010467,954353,21,19,Detached,1
2011,London,2,1,1448,620799,546712,74,91,Detached,0
2014,Guelph,1,2,1857,411268,375238,83,41,Condo,1
