,Year,Location,Number of Households,Tenure,Housing Characteristics
292,2021,"Large urban population centres, Ontario",175500,First-time homebuyer,Single-detached house
293,2022,"Large urban population centres, Ontario",124600,First-time homebuyer,Single-detached house
295,2021,"Large urban population centres, Ontario",14300,First-time homebuyer,Semi-detached house
296,2022,"Large urban population centres, Ontario",35700,First-time homebuyer,Semi-detached house
298,2021,"Large urban population centres, Ontario",61800,First-time homebuyer,Row house
299,2022,"Large urban population centres, Ontario",85700,First-time homebuyer,Row house
301,2021,"Large urban population centres, Ontario",7600,First-time homebuyer,Apartment or flat in a duplex
302,2022,"Large urban population centres, Ontario",2000,First-time homebuyer,Apartment or flat in a duplex
304,2021,"Large urban population centres, Ontario",87500,First-time homebuyer,Apartment in a building that has five or more storeys
305,2022,"Large urban population centres, Ontario",85500,First-time homebuyer,Apartment in a building that has five or more storeys
307,2021,"Large urban population centres, Ontario",21600,First-time homebuyer,Apartment in a building that has fewer than five storeys
308,2022,"Large urban population centres, Ontario",24600,First-time homebuyer,Apartment in a building that has fewer than five storeys
310,2021,"Large urban population centres, Ontario",0,First-time homebuyer,Other single-attached house
311,2022,"Large urban population centres, Ontario",0,First-time homebuyer,Other single-attached house
313,2021,"Large urban population centres, Ontario",1700,First-time homebuyer,Movable dwelling
314,2022,"Large urban population centres, Ontario",0,First-time homebuyer,Movable dwelling
319,2021,"Large urban population centres, Ontario",103700,First-time homebuyer,Condominium
320,2022,"Large urban population centres, Ontario",134400,First-time homebuyer,Condominium
322,2021,"Large urban population centres, Ontario",266300,First-time homebuyer,Not condominium
323,2022,"Large urban population centres, Ontario",223600,First-time homebuyer,Not condominium
326,2021,"Large urban population centres, Ontario",57800,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
327,2022,"Large urban population centres, Ontario",47700,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
328,2021,"Large urban population centres, Ontario",100200,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
329,2022,"Large urban population centres, Ontario",120400,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
330,2021,"Large urban population centres, Ontario",212100,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
331,2022,"Large urban population centres, Ontario",190000,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
334,2021,"Large urban population centres, Ontario",48600,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
335,2022,"Large urban population centres, Ontario",53200,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
336,2021,"Large urban population centres, Ontario",94700,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
337,2022,"Large urban population centres, Ontario",87100,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
338,2021,"Large urban population centres, Ontario",226700,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
339,2022,"Large urban population centres, Ontario",217700,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
341,2021,"Large urban population centres, Ontario",8400,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
342,2022,"Large urban population centres, Ontario",4100,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
344,2021,"Large urban population centres, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
345,2022,"Large urban population centres, Ontario",900,First-time homebuyer,Moved due to a natural disaster or fire
347,2021,"Large urban population centres, Ontario",38000,First-time homebuyer,Moved for a new job or job transfer
348,2022,"Large urban population centres, Ontario",30000,First-time homebuyer,Moved for a new job or job transfer
350,2021,"Large urban population centres, Ontario",8600,First-time homebuyer,Moved for a new school
351,2022,"Large urban population centres, Ontario",2300,First-time homebuyer,Moved for a new school
353,2021,"Large urban population centres, Ontario",73300,First-time homebuyer,Moved to form own household
354,2022,"Large urban population centres, Ontario",82300,First-time homebuyer,Moved to form own household
356,2021,"Large urban population centres, Ontario",6200,First-time homebuyer,Moved to be closer to family
357,2022,"Large urban population centres, Ontario",15300,First-time homebuyer,Moved to be closer to family
359,2021,"Large urban population centres, Ontario",37500,First-time homebuyer,Moved because of a change in household or family size
360,2022,"Large urban population centres, Ontario",39600,First-time homebuyer,Moved because of a change in household or family size
362,2021,"Large urban population centres, Ontario",33000,First-time homebuyer,Moved to reduce commuting time
363,2022,"Large urban population centres, Ontario",15000,First-time homebuyer,Moved to reduce commuting time
365,2021,"Large urban population centres, Ontario",99800,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
366,2022,"Large urban population centres, Ontario",59900,First-time homebuyer,Moved to upgrade to a larger dwelling or better quality dwelling
368,2021,"Large urban population centres, Ontario",6400,First-time homebuyer,Moved to reduce housing costs
369,2022,"Large urban population centres, Ontario",3300,First-time homebuyer,Moved to reduce housing costs
371,2021,"Large urban population centres, Ontario",45100,First-time homebuyer,Moved to be in a more desirable neighbourhood
372,2022,"Large urban population centres, Ontario",30500,First-time homebuyer,Moved to be in a more desirable neighbourhood
374,2021,"Large urban population centres, Ontario",9900,First-time homebuyer,Moved for personal health reasons
375,2022,"Large urban population centres, Ontario",900,First-time homebuyer,Moved for personal health reasons
377,2021,"Large urban population centres, Ontario",228500,First-time homebuyer,Moved to become a homeowner
378,2022,"Large urban population centres, Ontario",248500,First-time homebuyer,Moved to become a homeowner
379,2021,"Large urban population centres, Ontario",11700,First-time homebuyer,Moved due to issues with previous landlord or other tenants
380,2022,"Large urban population centres, Ontario",16600,First-time homebuyer,Moved due to issues with previous landlord or other tenants
382,2021,"Large urban population centres, Ontario",2300,First-time homebuyer,Moved for another reason
383,2022,"Large urban population centres, Ontario",27600,First-time homebuyer,Moved for another reason
388,2021,"Large urban population centres, Ontario",1358500,Repeat homebuyer,Single-detached house
389,2022,"Large urban population centres, Ontario",1356800,Repeat homebuyer,Single-detached house
391,2021,"Large urban population centres, Ontario",168200,Repeat homebuyer,Semi-detached house
392,2022,"Large urban population centres, Ontario",181200,Repeat homebuyer,Semi-detached house
394,2021,"Large urban population centres, Ontario",251600,Repeat homebuyer,Row house
395,2022,"Large urban population centres, Ontario",234100,Repeat homebuyer,Row house
397,2021,"Large urban population centres, Ontario",50700,Repeat homebuyer,Apartment or flat in a duplex
398,2022,"Large urban population centres, Ontario",51400,Repeat homebuyer,Apartment or flat in a duplex
400,2021,"Large urban population centres, Ontario",192300,Repeat homebuyer,Apartment in a building that has five or more storeys
401,2022,"Large urban population centres, Ontario",209600,Repeat homebuyer,Apartment in a building that has five or more storeys
403,2021,"Large urban population centres, Ontario",84100,Repeat homebuyer,Apartment in a building that has fewer than five storeys
404,2022,"Large urban population centres, Ontario",103800,Repeat homebuyer,Apartment in a building that has fewer than five storeys
406,2021,"Large urban population centres, Ontario",700,Repeat homebuyer,Other single-attached house
407,2022,"Large urban population centres, Ontario",13000,Repeat homebuyer,Other single-attached house
409,2021,"Large urban population centres, Ontario",1100,Repeat homebuyer,Movable dwelling
410,2022,"Large urban population centres, Ontario",1500,Repeat homebuyer,Movable dwelling
415,2021,"Large urban population centres, Ontario",342300,Repeat homebuyer,Condominium
416,2022,"Large urban population centres, Ontario",382900,Repeat homebuyer,Condominium
418,2021,"Large urban population centres, Ontario",1764900,Repeat homebuyer,Not condominium
419,2022,"Large urban population centres, Ontario",1768600,Repeat homebuyer,Not condominium
422,2021,"Large urban population centres, Ontario",176000,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
423,2022,"Large urban population centres, Ontario",230800,Repeat homebuyer,Dwelling satisfaction rating between 0 and 5
424,2021,"Large urban population centres, Ontario",455300,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
425,2022,"Large urban population centres, Ontario",407200,Repeat homebuyer,Dwelling satisfaction rating of 6 or 7
426,2021,"Large urban population centres, Ontario",1475800,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
427,2022,"Large urban population centres, Ontario",1513400,Repeat homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
430,2021,"Large urban population centres, Ontario",198800,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
431,2022,"Large urban population centres, Ontario",208300,Repeat homebuyer,Neighbourhood satisfaction rating between 0 and 5
432,2021,"Large urban population centres, Ontario",363300,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
433,2022,"Large urban population centres, Ontario",421400,Repeat homebuyer,Neighbourhood satisfaction rating of 6 or 7
434,2021,"Large urban population centres, Ontario",1545100,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
435,2022,"Large urban population centres, Ontario",1521800,Repeat homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
437,2021,"Large urban population centres, Ontario",31000,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
438,2022,"Large urban population centres, Ontario",25900,Repeat homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
440,2021,"Large urban population centres, Ontario",0,Repeat homebuyer,Moved due to a natural disaster or fire
441,2022,"Large urban population centres, Ontario",700,Repeat homebuyer,Moved due to a natural disaster or fire
443,2021,"Large urban population centres, Ontario",110100,Repeat homebuyer,Moved for a new job or job transfer
444,2022,"Large urban population centres, Ontario",144800,Repeat homebuyer,Moved for a new job or job transfer
446,2021,"Large urban population centres, Ontario",67000,Repeat homebuyer,Moved for a new school
447,2022,"Large urban population centres, Ontario",48700,Repeat homebuyer,Moved for a new school
