REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select household characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, household type",Number of households,Number,223,units,0,v1595207666,25.3.1.1,474200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, household type",Number of households,Number,223,units,0,v1595207666,25.3.1.1,532800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, household type",Number of households,Number,223,units,0,v1595207666,25.3.1.1,477600,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - couple with children,Number of households,Number,223,units,0,v1595207732,25.3.2.1,169400,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - couple with children,Number of households,Number,223,units,0,v1595207732,25.3.2.1,160400,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - couple with children,Number of households,Number,223,units,0,v1595207732,25.3.2.1,154900,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - couple without children,Number of households,Number,223,units,0,v1595207786,25.3.3.1,118200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - couple without children,Number of households,Number,223,units,0,v1595207786,25.3.3.1,163400,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - couple without children,Number of households,Number,223,units,0,v1595207786,25.3.3.1,120800,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - one-parent family,Number of households,Number,223,units,0,v1595207792,25.3.4.1,25700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - one-parent family,Number of households,Number,223,units,0,v1595207792,25.3.4.1,20900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,One-family household - one-parent family,Number of households,Number,223,units,0,v1595207792,25.3.4.1,31000,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Other family household,Number of households,Number,223,units,0,v1595207798,25.3.5.1,39000,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Other family household,Number of households,Number,223,units,0,v1595207798,25.3.5.1,71200,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Other family household,Number of households,Number,223,units,0,v1595207798,25.3.5.1,38400,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,One-person household,Number of households,Number,223,units,0,v1595207804,25.3.6.1,101200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,One-person household,Number of households,Number,223,units,0,v1595207804,25.3.6.1,95000,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,One-person household,Number of households,Number,223,units,0,v1595207804,25.3.6.1,120200,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Two-or-more-person non-family household,Number of households,Number,223,units,0,v1595207810,25.3.7.1,20700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Two-or-more-person non-family household,Number of households,Number,223,units,0,v1595207810,25.3.7.1,21900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Two-or-more-person non-family household,Number of households,Number,223,units,0,v1595207810,25.3.7.1,12600,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, age groups",Number of households,Number,223,units,0,v1595207816,25.3.8.1,474200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, age groups",Number of households,Number,223,units,0,v1595207816,25.3.8.1,532800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, age groups",Number of households,Number,223,units,0,v1595207816,25.3.8.1,477700,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,15 to 24 years,Number of households,Number,223,units,0,v1595207822,25.3.9.1,22900,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,15 to 24 years,Number of households,Number,223,units,0,v1595207822,25.3.9.1,21600,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,15 to 24 years,Number of households,Number,223,units,0,v1595207822,25.3.9.1,12900,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,25 to 34 years,Number of households,Number,223,units,0,v1595207672,25.3.10.1,214300,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,25 to 34 years,Number of households,Number,223,units,0,v1595207672,25.3.10.1,235900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,25 to 34 years,Number of households,Number,223,units,0,v1595207672,25.3.10.1,222300,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,35 to 44 years,Number of households,Number,223,units,0,v1595207678,25.3.11.1,126000,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,35 to 44 years,Number of households,Number,223,units,0,v1595207678,25.3.11.1,145300,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,35 to 44 years,Number of households,Number,223,units,0,v1595207678,25.3.11.1,129200,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,45 to 54 years,Number of households,Number,223,units,0,v1595207684,25.3.12.1,80500,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,45 to 54 years,Number of households,Number,223,units,0,v1595207684,25.3.12.1,73900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,45 to 54 years,Number of households,Number,223,units,0,v1595207684,25.3.12.1,58400,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207690,25.3.13.1,20800,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207690,25.3.13.1,40200,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,55 to 64 years,Number of households,Number,223,units,0,v1595207690,25.3.13.1,43400,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207696,25.3.14.1,8500,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207696,25.3.14.1,11100,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,65 to 74 years,Number of households,Number,223,units,0,v1595207696,25.3.14.1,9500,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207702,25.3.15.1,1100,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207702,25.3.15.1,4900,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,75 years and older,Number of households,Number,223,units,0,v1595207702,25.3.15.1,2200,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207708,25.3.16.1,474200,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207708,25.3.16.1,532800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, employment status",Number of households,Number,223,units,0,v1595207708,25.3.16.1,477700,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207714,25.3.17.1,415300,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207714,25.3.17.1,454000,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Employed,Number of households,Number,223,units,0,v1595207714,25.3.17.1,410500,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Not employed,Number of households,Number,223,units,0,v1595207720,25.3.18.1,57500,,,,0
