REF_DATE,GEO,DGUID,Tenure including first-time homebuyer status,Select housing indicators,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, structural type of dwelling",Number of households,Number,223,units,0,v1596448330,25.3.1.1,474300,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, structural type of dwelling",Number of households,Number,223,units,0,v1596448330,25.3.1.1,532800,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,"Total, structural type of dwelling",Number of households,Number,223,units,0,v1596448330,25.3.1.1,477700,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Single-detached house,Number of households,Number,223,units,0,v1596448396,25.3.2.1,265300,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Single-detached house,Number of households,Number,223,units,0,v1596448396,25.3.2.1,302300,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Single-detached house,Number of households,Number,223,units,0,v1596448396,25.3.2.1,213000,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Semi-detached house,Number of households,Number,223,units,0,v1596448462,25.3.3.1,35600,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Semi-detached house,Number of households,Number,223,units,0,v1596448462,25.3.3.1,30000,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Semi-detached house,Number of households,Number,223,units,0,v1596448462,25.3.3.1,42800,,,,0
2018,Ontario,2021A000235,Owner who is a first-time homebuyer,Row house,Number of households,Number,223,units,0,v1596448504,25.3.4.1,50700,,,,0
2021,Ontario,2021A000235,Owner who is a first-time homebuyer,Row house,Number of households,Number,223,units,0,v1596448504,25.3.4.1,68400,,,,0
2022,Ontario,2021A000235,Owner who is a first-time homebuyer,Row house,Number of households,Number,223,units,0,v1596448504,25.3.4.1,100800,,,,0
